"","old_genotype","leaf","mean_predicted_N","plant"
"151","Zdip-JSG-RMM-LCL-551_P2_P2_P1.2.1.1","e1",2.73273823006668,"C, BD"
"152","Zdip-JSG-RMM-LCL-551_P2_P2_P1.2.1.1","e2",2.83027072170264,"C, BD"
"153","Zdip-JSG-RMM-LCL-551_P2_P2_P1.2.1.1","e3",3.26122731507703,"C, BD"
"154","Zdip-JSG-RMM-LCL-551_P2_P3_P1.2.1.1","e1",3.20441816531985,"C, BD"
"155","Zdip-JSG-RMM-LCL-551_P2_P3_P1.2.1.1","e2",3.08889526400346,"C, BD"
"156","Zdip-JSG-RMM-LCL-551_P2_P3_P1.2.1.1","e3",2.37747378574124,"C, BD"
"157","Zdip-JSG-RMM-LCL-551_P2_P4_P1.1.1.1","e1",2.7647596221811,"C, BD"
"158","Zdip-JSG-RMM-LCL-551_P2_P4_P1.1.1.1","e2",3.19182765502838,"C"
"159","Zdip-JSG-RMM-LCL-551_P2_P4_P1.1.1.1","e3",2.9033574133121,"C, BD"
"160","Zdip-JSG-RMM-LCL-551_P2_P4_P2.3.1.1","e1",3.72508581804505,"C, BD"
"161","Zdip-JSG-RMM-LCL-551_P2_P4_P2.3.1.1","e2",3.87850199062256,"C, BD"
"162","Zdip-JSG-RMM-LCL-551_P2_P4_P2.3.1.1","e3",3.76894694044237,"C, BD"
"163","Zdip-JSG-RMM-LCL-551_P2_P4_P3.4.1.1","e1",2.9769566833716,"C, BD"
"164","Zdip-JSG-RMM-LCL-551_P2_P4_P3.4.1.1","e2",3.43601725775776,"C, BD"
"165","Zdip-JSG-RMM-LCL-551_P2_P4_P3.4.1.1","e3",3.42764074515317,"C, BD"
"166","Zdip-JSG-RMM-LCL-551_P3_P1_P3.1.1.1","e1",2.98070401910458,"C, BD"
"167","Zdip-JSG-RMM-LCL-551_P3_P1_P3.1.1.1","e2",3.03844907111971,"C, BD"
"168","Zdip-JSG-RMM-LCL-551_P3_P1_P3.1.1.1","e3",2.57065966483038,"C, BD"
